id,name,line_id,prefecture_id
1,函館,1,1
2,五稜郭,1,1
3,桔梗,1,1
4,大中山,1,1
5,七飯,1,1
6,新函館北斗,1,1
7,仁山,1,1
8,大沼,1,1
9,大沼公園,1,1
10,赤井川,1,1
11,駒ケ岳,1,1
12,東山,1,1
13,姫川,1,1
14,池田園,1,1
15,流山温泉,1,1
16,銚子口,1,1
17,鹿部,1,1
18,渡島沼尻,1,1
19,渡島砂原,1,1
20,掛澗,1,1
21,尾白内,1,1
22,東森,1,1
23,森,1,1
24,桂川,1,1
25,石谷,1,1
26,本石倉,1,1
27,石倉,1,1
28,落部,1,1
29,野田生,1,1
30,山越,1,1
31,八雲,1,1
32,鷲ノ巣,1,1
33,山崎,1,1
34,黒岩,1,1
35,北豊津,1,1
36,国縫,1,1
37,中ノ沢,1,1
38,長万部,1,1
39,長万部,2,1
40,二股,2,1
41,蕨岱,2,1
42,黒松内,2,1
43,熱郛,2,1
44,目名,2,1
45,蘭越,2,1
46,昆布,2,1
47,ニセコ,2,1
48,比羅夫,2,1
49,倶知安,2,1
50,小沢,2,1
51,銀山,2,1
52,然別,2,1
53,仁木,2,1
54,余市,2,1
55,蘭島,2,1
56,塩谷,2,1
57,小樽,2,1
58,小樽,3,1
59,南小樽,3,1
60,小樽築港,3,1
61,朝里,3,1
62,銭函,3,1
63,ほしみ,3,1
64,星置,3,1
65,稲穂,3,1
66,手稲,3,1
67,稲積公園,3,1
68,発寒,3,1
69,発寒中央,3,1
70,琴似,3,1
71,桑園,3,1
72,札幌,3,1
73,苗穂,3,1
74,白石,3,1
75,厚別,3,1
76,森林公園,3,1
77,大麻,3,1
78,野幌,3,1
79,高砂,3,1
80,江別,3,1
81,豊幌,3,1
82,幌向,3,1
83,上幌向,3,1
84,岩見沢,3,1
85,峰延,3,1
86,光珠内,3,1
87,美唄,3,1
88,茶志内,3,1
89,奈井江,3,1
90,豊沼,3,1
91,砂川,3,1
92,滝川,3,1
93,江部乙,3,1
94,妹背牛,3,1
95,深川,3,1
96,納内,3,1
97,伊納,3,1
98,近文,3,1
99,旭川,3,1
100,長万部,4,1
101,静狩,4,1
102,小幌,4,1
103,礼文,4,1
104,大岸,4,1
105,豊浦,4,1
106,洞爺,4,1
107,有珠,4,1
108,長和,4,1
109,伊達紋別,4,1
110,北舟岡,4,1
111,稀府,4,1
112,黄金,4,1
113,崎守,4,1
114,本輪西,4,1
115,室蘭,4,1
116,母恋,4,1
117,御崎,4,1
118,輪西,4,1
119,東室蘭,4,1
120,鷲別,4,1
121,幌別,4,1
122,富浦,4,1
123,登別,4,1
124,虎杖浜,4,1
125,竹浦,4,1
126,北吉原,4,1
127,萩野,4,1
128,白老,4,1
129,社台,4,1
130,錦岡,4,1
131,糸井,4,1
132,青葉,4,1
133,苫小牧,4,1
134,苫小牧,5,1
135,沼ノ端,5,1
136,遠浅,5,1
137,早来,5,1
138,安平,5,1
139,追分,5,1
140,三川,5,1
141,古山,5,1
142,由仁,5,1
143,栗山,5,1
144,栗丘,5,1
145,栗沢,5,1
146,志文,5,1
147,岩見沢,5,1
148,滝川,6,1
149,東滝川,6,1
150,赤平,6,1
151,茂尻,6,1
